title,abstract,keywords,date,creators,url
SENTIMEN ANALISIS KOMENTAR INSTAGRAM PADA AKUN MATA NAJWA MENGGUNAKAN METODE SELEKSI FITUR INFORMATION GAIN DAN CHI-SQUARE DENGAN RANDOM FORET,"Instagram is one of the most popular social media platforms that is not only 
used to share pictures and videos, but also as a means of discussion on various 
social, political and cultural issues. One of the most active and influential accounts 
in Indonesia is the Mata Najwa account, which often triggers public discussion 
through the comments section. The large number of incoming comments creates 
challenges in managing and analyzing the data, especially due to the presence of 
comments that are ambiguous, irrelevant, or even contain hate speech. This 
research aims to develop software for classifying Instagram comments on the Mata 
Najwa account using the Random Forest algorithm. The dataset used consists of 
574 comments categorized into three classes: positive, negative, and neutral. Three
testing approaches were conducted: Random Forest without feature selection, 
Random Forest with feature selection using Information Gain, and Random Forest 
with feature selection using Chi-Square. The test results show that the Random 
Forest method without feature selection produces an average accuracy of 0.7536, 
precision of 0.4606, recall of 0.4163, and F-Measure of 0.4164. Meanwhile, the 
Random Forest method with Information Gain produced the highest F-Measure of 
0.4567, and the method with Chi-Square recorded the highest accuracy of 0.7565. 
This research shows that the Random Forest algorithm can be effectively used in 
the classification of social media comments.","Instagram, Random Forest, Information Gain, Chi-Square",7/11/2025,"ALGAFARU, M ZAHRAN; Utami, Alvi Syahrini",http://repository.unsri.ac.id/178886/
"PERBANDINGAN METODE NAÏVE BAYES, SUPPORT VECTOR MACHINE(SVM) DAN LONG SHORT-TERM MEMORY(LSTM) UNTUK ANALISIS SENTIMEN ULASAN PENGGUNA APLIKASI SAYURBOX DI GOOGLE PLAY STORE","Sayurbox is an e-commerce application that provides fresh products directly from farmers to consumers. To understand user perception namely how users express their evaluations of the services and experiences when using the application this study conducts sentiment analysis on user reviews of Sayurbox from the Google Play Store using three classification algorithms: Naïve Bayes, Support Vector Machine (SVM), and Long Short-Term Memory (LSTM). Feature extraction is performed using TF-IDF for Naïve Bayes and SVM, and pre-trained Word2Vec for LSTM. The dataset consists of thousands of user reviews written in Indonesian. Evaluation results show that the SVM model with a linear kernel and C=100 achieves the best accuracy at 91.42%, followed by LSTM with 85.92%, and Naïve Bayes with 81.63%. These findings indicate that SVM is the most effective method for classifying the sentiment of Sayurbox user reviews.
Keywords: Sentiment Analysis, Naïve Bayes, Support Vector Machine, LSTM, TF-IDF, Word2Vec, Sayurbox.","Analisis Sentimen, Naive Bayes, Support Vector Machine, LSTM, TF-IDF, Word2Vec",6/13/2025,"ARDELIA, EKA ABIDAH; Utami, Alvi Syahrini",http://repository.unsri.ac.id/177243/
KLASIFIKASI CITRA JENIS BUAH DAN SAYURAN MENGGUNAKAN ALGORITMA YOLOV11,"Automatic image classification of fruits and vegetables plays a crucial role in enhancing efficiency in the agricultural and retail sectors, yet it faces challenges due to visual complexities such as intra-class variation and inter-class similarity. This research aims to implement and evaluate the effectiveness of the You Only Look Once version 11 (YOLOv11) algorithm, specifically the YOLOv11s-cls variant, for the image classification task of 34 types of fruits and vegetables. The dataset used is ""Fruit and Vegetable Classification"" from Kaggle, which has undergone a cleaning process, resulting in approximately 2913 images. Pre-processing methods include resizing images to 640x640 pixels and data augmentation through stretching with a 1:1 aspect ratio. The YOLOv11s-cls model, previously trained on ImageNet, was fine-tuned using a transfer learning approach. Training was conducted for 20 epochs with monitoring of loss and accuracy curves. Model performance evaluation utilized metrics such as accuracy, precision, recall, F1-score, and a confusion matrix. The research results indicate that the YOLOv11s-cls model achieved an overall accuracy of 90,8% on the test set. Analysis of the confusion matrix and per-class F1-scores identified classes with excellent performance (e.g., cauliflower, corn, cucumber with an F1-score of 1,00) as well as more challenging classes (e.g., chilli pepper with an F1-score of 0,58, potato with 0,67, apple and paprika with 0,71), generally attributed to visual similarities between classes. This study demonstrates that YOLOv11s-cls is a promising algorithm for fruit and vegetable image classification, contributing to the development of automatic identification systems in related fields.","Augmentasi Data, Buah dan Sayuran, Deep Learning, Klasifikasi Citra, Transfer Learning, YOLOv11",7/25/2025,"AZANTHA, IRVAN MALIK; Arsalan, Osvari",http://repository.unsri.ac.id/183045/
KLASIFIKASI PENYAKIT PADA SALURAN PENCERNAAN MENGGUNAKAN METODE CONVOLUTIONAL NEURAL NETWORK DENGAN INCEPTIONV3,"Diseases of the digestive tract are significant health issues that require quick and accurate diagnosis to enable effective treatment. This study aims to develop a classification model for digestive tract diseases using the Convolutional Neural Network (CNN) method with the InceptionV3 architecture. The model is evaluated using the 5-Fold Cross-Validation approach to enhance generalization and prediction reliability. The dataset utilized consists of various types of medical images of the digestive tract, which have undergone augmentation and normalization processes to boost model performance. In this experiment, the model was trained with a batch size of 16, image resolution of 299×299 pixels, over the course of 10 epochs. The evaluation results demonstrate that the developed model achieves high accuracy with an accuracy rate of 99%, proving that the InceptionV3 architecture is effective for the task of classifying digestive tract diseases. With these findings, this study is expected to contribute to the development of artificial intelligence-based systems to support medical professionals in the diagnostic process.","Klasifikasi Penyakit, Convolutional Neural Network, InceptionV3, Saluran Pencernaan, Confusion Matrix",5/23/2025,"BINTANG, ABEL; Miraswan, Kanda Januar; Rizqie, M. Qurhanul",http://repository.unsri.ac.id/176743/
PENYELESAIAN SLIDING PUZZLE BERBASIS GAMBAR OTOMATIS DENGAN ALGORITMA A*,"Sliding Puzzle merupakan salah satu jenis puzzle yang sering ditemukan di kehidupan sehari-hari dan termasuk dalam media gambar atau visual yang dapat meningkatkan daya ingat anak sejak dini. Untuk mendukung perkembangan teknologi ini, penelitian ini bertujuan untuk mengembangkan sistem penyelesaian Image Sliding Puzzle secara otomatis. Penelitian akan dilakukan menggunakan 360 data yang diperoleh berdasarkan konfigurasi puzzle dengan variasi ukuran scramble 15,30,45 dan 60. Algoritma A* diimplementasikan sebagai metode pencarian rute optimal dengan mengukur dua parameter utama yaitu total moves dan waktu eksekusi. Hasil penelitian ini menunjukkan bahwa posisi tile kosong memiliki pengaruh signifikan terhadap efisiensi penyelesaian Image Sliding Puzzle. Grup tile dengan posisi “Center” (tile bernomor 5) sebagai tile kosong atau ruang gerak memberikan performa terbaik dengan rata-rata jumla gerak dan waktu yang sedikit dibandingkan grup tile lainnya yaitu “Plus Sign” (tile 2,4,6 dan 8) dan  “Corner” (tile 1,3,7 dan 9). Sebaliknya, grup tile ""Corner"" menunjukkan performa paling lambat dalam menyelesaikan puzzle. Hasil penelitian ini menunjukkan bahwa posisi tile kosong pada sliding puzzle berpengaruh secara signifikan pada efisiensi algoritma A* dalam mencari solusi optimal.","Image Sliding Puzzle, Algoritma A Star, Pencaharian Rute, Puzzle Solver",7/24/2025,"CRISTIANTO, RICO; Primanita, Anggina",http://repository.unsri.ac.id/182153/
ANALISIS KINERJA MODEL T5 DAN BART DALAM KEYPHRASE GENERATION PADA DATASET ARTIKEL ILMIAH,"Keyphrase Generation is a task in Natural Language Processing that aims to extract keyphrases that represent the main content of a document. The increase in the number of scientific publications has made the manual annotation process inefficient and prone to subjectivity. Therefore, Automated Keyphrase Generation (AKG) has become a relevant approach to support more efficient scientific information management. This study compares the performance of two transformer-based keyphrase generation models, namely Text-to-Text Transfer Transformer (T5) and Bidirectional and Auto-Regressive Transformer (BART). Both models were trained using a fine-tuning approach on 10,000 samples from the KP20K dataset, with 1,000 samples each used for validation and testing. Testing was also conducted on other datasets consisting of other scientific article datasets, namely Inspec, SemEval, NUS, and Krapivin. The performance of both models was evaluated using the F1-Score metric to assess the agreement between the predictions and the reference key phrases. The experimental results show that T5 consistently outperforms BART, with an F1-Score of 21.01% at F1@5 and 22.36% at F1@M.","Keyphrase generation, T5, BART, Transformer, Artikel Ilmiah",6/26/2025,"DERI, HASBI HUSSEIN; Novi, Yusliani; Rachmatullah, Muhammad Naufal",http://repository.unsri.ac.id/177335/
ANALISIS KINERJA KEYBART DAN TRANSFORMER UNTUK KEYPHRASE GENERATION PADA DATASET ARTIKEL ILMIAH,"Keyphrase play an important role in applications such as information retrieval, text summarization, recommendation systems, and indexing of scientific documents. However, the automated process of generating key phrases still faces major challenges, especially when faced with complex English scientific articles rich in technical terms. Transformer-based generative approaches often produce phrases that are either irrelevant or too general. This study aims to evaluate the performance of KeyBART, a variant of BART customized for the task of keyphrase generation, to overcome these problems. Using 30,000 scientific articles as training data, KeyBART's performance is compared with the standard Transformer and evaluated using the F1-Score metric. Results show that KeyBART consistently generates more accurate key phrases, with an F1@M of 20.09% and F1@5 of 24.02%. These findings suggest that KeyBART is more effective in understanding scientific context and more reliable for automatically generating key phrases in scientific articles.","Keyphrase Generation, KeyBART, Transformer, Self-Attention, Scientific Article",6/26/2025,"FARIZIM, AHMAD SUGAMA; Yusliani, Novi; Rachmatullah, Muhammad Naufal",http://repository.unsri.ac.id/177722/
ANALISIS SENTIMEN TERKAIT APLIKASI CHATGPT MENGGUNAKAN BERT DAN RNN,"ChatGPT has become one of the most popular artificial intelligence tools worldwide, but its rapid adoption has also generated diverse user reactions and reviews. Understanding these perceptions is important for evaluating and improving service quality. Sentiment analysis is a suitable approach to explore such opinions. This study employs BERT (Bidirectional Encoder Representations from  Transformers) as the embedding technique and RNN (Recurrent Neural Network) as the classification model. Two classification scenarios are used: binary (positive and negative) and multi-class (positive, neutral, and negative). To overcome the limitation of labeled data, a semi supervised pseudo-labeling strategy is applied during fine tuning. Experimental results show that binary classification achieved the highest accuracy of 91%, while the three-label scenario reached only 77%. The lower result in the three label setting is mainly caused by difficulties in identifying ambiguous neutral sentiments and the influence of imbalanced labels. Overall, combining BERT and RNN is effective for sentiment analysis, particularly in binary classification, though challenges remain in multi-label contexts.","Analisis Sentimen, BERT, RNN",7/11/2025,"FITRIANI, WIDYA; Yusliani, Novi; Rachmatullah, M. Naufal",http://repository.unsri.ac.id/179852/
IMPLEMENTASI CONVOLUTIONAL NEURAL NETWORK (CNN) DENGAN EKSTRAKSI FITUR MFCC DAN CHROMA FEATURES DALAM KLASIFIKASI GENRE MUSIK,"Music is an important part of human life and continues to evolve with the advancement of information technology. The diversity of music genres that emerge due to differences in instruments, rhythm, technique, and lyrics presents a unique challenge in accurately classifying genres. This study aims to develop a music genre classification system using the Convolutional Neural Network (CNN) method with a Resnet-50 architecture and additional extraction of MFCC and Chroma Features, as well as to evaluate the accuracy achieved by various model configurations. The data used consists of 30-second .wav audio files from the GTZAN dataset. This dataset contains 1,000 audio files divided into 10 genre classes: blues, classical, country, disco, hip hop, jazz, metal, pop, reggae, and rock. Audio samples are extracted for their MFCC and Chroma features, which are then represented as 2D arrays that can be visualized as spectrograms and processed by the CNN model. The results of the study show that the CNN with the Resnet-50 architecture achieved fairly good performance, with an accuracy of 66%, precision of 68.86%, recall of 66%, and F1 score of 65.86%.","Convolutional Neural Network (CNN), Resnet-50, klasifikasi genre musik, GTZAN, MFCC, Chroma Features",5/23/2025,"HAKIM, ELAN ABDUL; Utami, Alvi Syahrini",http://repository.unsri.ac.id/176161/
KLASIFIKASI SINYAL ELEKTROENSEFALOGRAM (EEG) UNTUK MENGENALI JENIS EMOSI MENGUNAKAN MACHINE LEARNING,"Human emotion recognition can be done through facial expressions, voice, body posture, and physiological signals. However, these approaches tend to be subjective as individuals may consciously hide or manipulate their emotional expressions. As a more objective method, electroencephalogram signals can provide a more accurate understanding of a person's emotional state. In this regard, this research aims to develop a machine learning-based emotion classification model using electroencephalogram signals, which record brain electrical activity as a representation of emotional states. The dataset used consists of 2132 rows and 2549 features, including 2548 numerical data and one emotion label, namely positive, negative, and neutral. Three classification algorithms of Decision Tree, K-Nearest Neighbors, and Support Vector Machine are applied with data normalization method to improve the model performance. The experimental results show that Support Vector Machine with Quantile Transformer provides the highest accuracy of 99.76%, followed by Decision Tree 96.95% and K-Nearest Neighbors 96.01%. These findings suggest that machine learning approaches to EEG signals can be an effective method for human emotion classification.","Emotion Recognition, Electroencephalogram Signals, Decision Tree, K-Nearest Neighbors, Support Vector Machine, Data Normalization",6/13/2025,"HIDAYATTULLAH, ROBBY; Rini, Dian Palupi; Rodiah, Desty",http://repository.unsri.ac.id/175983/
