title,abstract,keywords,Dosen
komentar instagram akun mata najwa seleksi fitur gain chisquare random foret,instagram one popular social media platforms share pictures videos also means discussion various social political cultural issues one active influential accounts indonesia mata najwa account often triggers public discussion comments section large number incoming comments creates challenges managing analyzing especially due presence comments ambiguous irrelevant even contain hate speech develop software classifying instagram comments mata najwa account random forest consists 574 comments categorized three classes positive negative neutral three approaches conducted random forest without random forest gain random forest chisquare test show random forest without produces average 07536 precision 04606 recall 04163 fmeasure 04164 meanwhile random forest gain produced highest fmeasure 04567 chisquare recorded highest 07565 shows random forest effectively social media comments,instagram random forest gain chisquare,alvi syahrini utami
perbandingan naãve support vector machinesvm long shortterm memorylstm ulasan sayurbox google play store,sayurbox ecommerce provides fresh products directly farmers consumers understand perception namely users express evaluations services experiences conducts reviews sayurbox google play store three naãve support vector long shortterm memory lstm extraction performed tfidf naãve pretrained word2vec lstm consists thousands reviews written indonesian evaluation show linear kernel c100 achieves best 9142 followed lstm 8592 naãve 8163 findings indicate effective classifying sayurbox reviews keywords naãve support vector lstm tfidf word2vec sayurbox,support vector lstm tfidf word2vec,alvi syahrini utami
penyakit saluran pencernaan convolutional neural network inceptionv3,diseases digestive tract significant health issues require quick accurate diagnosis enable effective treatment develop digestive tract diseases convolutional neural network cnn inceptionv3 architecture evaluated 5fold crossvalidation approach enhance generalization reliability utilized consists various types medical images digestive tract undergone augmentation normalization processes boost experiment trained batch size 16 image resolution 299ã299 pixels course 10 epochs evaluation demonstrate developed achieves high rate 99 proving inceptionv3 architecture effective task classifying digestive tract diseases findings expected contribute development artificial intelligencebased systems support medical professionals diagnostic,penyakit convolutional neural network inceptionv3 saluran pencernaan confusion matrix,kanda januar miraswan m qurhanul rizqie
penyelesaian sliding puzzle gambar otomatis,sliding puzzle salah jenis puzzle ditemukan kehidupan seharihari media gambar visual meningkatkan daya anak mendukung perkembangan teknologi mengembangkan penyelesaian image sliding puzzle otomatis 360 konfigurasi puzzle variasi ukuran scramble 153045 60 diimplementasikan pencarian rute optimal mengukur parameter utama total moves eksekusi posisi tile kosong memiliki signifikan efisiensi penyelesaian image sliding puzzle grup tile posisi âcenterâ tile bernomor 5 tile kosong ruang gerak performa terbaik ratarata jumla gerak dibandingkan grup tile âplus signâ tile 246 8 âcornerâ tile 137 9 grup tile corner performa lambat menyelesaikan puzzle posisi tile kosong sliding puzzle berpengaruh signifikan efisiensi mencari solusi optimal,image sliding puzzle star pencaharian rute puzzle solver,anggina primanita
kinerja t5 bart keyphrase generation artikel ilmiah,keyphrase generation task natural language processing extract keyphrases represent main content document increase number scientific publications made manual annotation inefficient prone subjectivity therefore automated keyphrase generation akg become relevant approach support efficient scientific management compares two transformerbased keyphrase generation models namely texttotext transfer transformer t5 bidirectional autoregressive transformer bart models trained finetuning approach 10000 samples kp20k 1000 samples validation also conducted datasets consisting scientific article datasets namely inspec semeval nus krapivin models evaluated f1score metric assess agreement predictions reference key phrases experimental show t5 consistently outperforms bart f1score 2101 f15 2236 f1m,keyphrase generation t5 bart transformer artikel ilmiah,yusliani novi muhammad naufal rachmatullah
kinerja keybart transformer keyphrase generation artikel ilmiah,keyphrase play important role applications retrieval summarization recommendation systems indexing scientific documents however automated generating key phrases still faces major challenges especially faced complex english scientific articles rich technical terms transformerbased generative approaches often produce phrases either irrelevant general evaluate keybart variant bart customized task keyphrase generation overcome problems 30000 scientific articles keybarts compared standard transformer evaluated f1score metric show keybart consistently generates accurate key phrases f1m 2009 f15 2402 findings suggest keybart effective understanding scientific context reliable automatically generating key phrases scientific articles,keyphrase generation keybart transformer selfattention scientific article,novi yusliani muhammad naufal rachmatullah
terkait chatgpt bert rnn,chatgpt become one popular artificial intelligence tools worldwide rapid adoption also generated diverse reactions reviews understanding perceptions important evaluating improving service quality suitable approach explore opinions employs bert bidirectional encoder representations transformers embedding technique rnn recurrent neural network two scenarios binary positive negative multiclass positive neutral negative overcome limitation labeled semi supervised pseudolabeling strategy applied fine tuning experimental show binary achieved highest 91 threelabel scenario reached 77 lower three label setting mainly caused difficulties identifying ambiguous neutral sentiments influence imbalanced labels overall combining bert rnn effective particularly binary though challenges remain multilabel contexts,bert rnn,novi yusliani m naufal rachmatullah
convolutional neural network cnn ekstraksi fitur mfcc chroma features genre musik,music important part human life continues evolve advancement technology diversity music genres emerge due differences instruments rhythm technique lyrics presents unique challenge accurately classifying genres develop music genre convolutional neural network cnn resnet50 architecture additional extraction mfcc chroma features well evaluate achieved various configurations consists 30second wav audio files gtzan contains 1000 audio files divided 10 genre classes blues classical country disco hip hop jazz metal pop reggae rock audio samples extracted mfcc chroma features represented 2d arrays visualized spectrograms processed cnn show cnn resnet50 architecture achieved fairly good 66 precision 6886 recall 66 f1 score 6586,convolutional neural network cnn resnet50 genre musik gtzan mfcc chroma features,alvi syahrini utami
sinyal elektroensefalogram eeg mengenali jenis emosi mengunakan,human emotion recognition done facial expressions voice body posture physiological signals however approaches tend subjective individuals may consciously hide manipulate emotional expressions objective electroencephalogram signals provide accurate understanding persons emotional state regard develop learningbased emotion electroencephalogram signals record brain electrical activity representation emotional states consists 2132 rows 2549 features including 2548 numerical one emotion label namely positive negative neutral three knearest neighbors support vector applied normalization improve experimental show support vector quantile transformer provides highest 9976 followed 9695 knearest neighbors 9601 findings suggest approaches eeg signals effective human emotion,emotion recognition electroencephalogram signals knearest neighbors support vector normalization,dian palupi rini desty rodiah
perbandingan performa ecommerce lingkungan kontainer lingkungan nonkontainer,goodperforming ecommerce expected handle requests quickly reliably especially traffic spikes number users increases requires robust architecture maintain efficiency service stability docker kontainerbased platform designed run applications isolation offering improved compared nonkontainerized environments xampp compare ecommerce environments grafana k6 tool evaluation focuses two key metrics error rate processing time virtual vu variations ranging 500 5000 show docker environment maintained 0 error rate 2000 vu reached 13 5000 vu contrast nonkontainer environment began showing errors 1000 vu surged 73 5000 vu terms processing time docker demonstrated stable consistent high load nonkontainer environment exhibited irregular declining traffic increased findings docker considered suitable supporting largescale ecommerce systems require scalability resilience heavy load,kontainer nonkontainer ecommerce error rate processing time,mastura diana marieska
