title,abstract,keywords,Dosen,content,user_id
determination winner project tender analytical hierarchy,abstractâ determination winner project tender fairly complex job winners various criteria hand analytical hierarchy ahp one frequently development makers principle ahp choice consideration various criteria conditions make ahp suitable applied determining winner tender project ahp architecture seven criteria seven alternatives seven criteria price specification time support warranty experience browser meanwhile company alternatives selected companies passed prequalification stage winner determined order greatest priority,analytical hierarchy project tender priority,julian supardi,determination winner project tender analytical hierarchy analytical hierarchy project tender priority abstractâ determination winner project tender fairly complex job winners various criteria hand analytical hierarchy ahp one frequently development makers principle ahp choice consideration various criteria conditions make ahp suitable applied determining winner tender project ahp architecture seven criteria seven alternatives seven criteria price specification time support warranty experience browser meanwhile company alternatives selected companies passed prequalification stage winner determined order greatest priority,mhs_0
identifikasi personal pola iris mata,conventional identification systems several weaknesses identifying personal overcome biometric identification utilizes natural human characteristic one iris iris pattems high degree randomness iris pattem similar even pattem iris right left different pattem identify iris pattem hamming distance final produce software capable identifying personal iris pattem hamming distance test software developed 76 failure due influence eyelashes eyelids eye position,identifikasi iris mata,julian supardi,identifikasi personal pola iris mata identifikasi iris mata conventional identification systems several weaknesses identifying personal overcome biometric identification utilizes natural human characteristic one iris iris pattems high degree randomness iris pattem similar even pattem iris right left different pattem identify iris pattem hamming distance final produce software capable identifying personal iris pattem hamming distance test software developed 76 failure due influence eyelashes eyelids eye position,mhs_1
pembuatan jigsaw puzzle captcha implicit captcha partial credit skema token bucket,utilization completely automated public turing test tell computer humans apart captcha visually usefitl prevent spam ensure online interaction delivered humans bot bot automated software purposely developed hackers perform repetitive tasks plowever optical character recognition software ocr bot provides opportunity bot able solve visual captcha correctly jigsaw puzzle visual captcha substitute making online sent actually originated humans better jigsaw puzzle captcha minimize chances completing captcha correctly vi,jigsaw puzzle captcha token bucket,alvi syahrini utami,pembuatan jigsaw puzzle captcha implicit captcha partial credit skema token bucket jigsaw puzzle captcha token bucket utilization completely automated public turing test tell computer humans apart captcha visually usefitl prevent spam ensure online interaction delivered humans bot bot automated software purposely developed hackers perform repetitive tasks plowever optical character recognition software ocr bot provides opportunity bot able solve visual captcha correctly jigsaw puzzle visual captcha substitute making online sent actually originated humans better jigsaw puzzle captcha minimize chances completing captcha correctly vi,mhs_2
verifikasi garisgaris telapak tangan,verification accept reject identity claimed person identification solve ones identity verification lines palmprint matching palmprint tested palmprint claimed palmprint still relatively new biometric unique characteristics form lines palmprint stable get characteristics palmprint line detection block operations matching normalized euclidean distance final software verify person palm lines,verifikasi garis telapak tangan,julian supardi,verifikasi garisgaris telapak tangan verifikasi garis telapak tangan verification accept reject identity claimed person identification solve ones identity verification lines palmprint matching palmprint tested palmprint claimed palmprint still relatively new biometric unique characteristics form lines palmprint stable get characteristics palmprint line detection block operations matching normalized euclidean distance final software verify person palm lines,mhs_3
pemanfaatan mengidentifikasi kondisi usus colon iridologi,iridology human iris could give colon colon associated human digestive related diet excretion bodys systems software development computerized needed identify condition colon iris image software pixels iris image accordance maximum frequency calculate probability category generated probability pixel image iris trained would provide maximum probability describe certain categories colon conditions iris image database ubiris vl image database collection grayscale images size 200x150 px thesis error 375 25 accurate 15 inaccurate 40 images whole therefore could concluded identification iris determine condition colon yields 625,iridologi usus colon ubiris vl,annisa darmawahyuni,pemanfaatan mengidentifikasi kondisi usus colon iridologi iridologi usus colon ubiris vl iridology human iris could give colon colon associated human digestive related diet excretion bodys systems software development computerized needed identify condition colon iris image software pixels iris image accordance maximum frequency calculate probability category generated probability pixel image iris trained would provide maximum probability describe certain categories colon conditions iris image database ubiris vl image database collection grayscale images size 200x150 px thesis error 375 25 accurate 15 inaccurate 40 images whole therefore could concluded identification iris determine condition colon yields 625,mhs_4
steganografi dokumen teks line shifting,steganography technigue secure w e one media line shifting line shifting way hiding altering lines normal position case document processed postscript hide bits retrieve hidden baselines measuring distance baselines adjacent lines case determine systems success every processes robustness detect failurs stegomedias modification document determine success hiding initial documents modification,steganografi line shifting postscript baselines baris,novi yusliani,steganografi dokumen teks line shifting steganografi line shifting postscript baselines baris steganography technigue secure w e one media line shifting line shifting way hiding altering lines normal position case document processed postscript hide bits retrieve hidden baselines measuring distance baselines adjacent lines case determine systems success every processes robustness detect failurs stegomedias modification document determine success hiding initial documents modification,mhs_5
pendekatan penyelesaian traveling salesman jaringan syaraf tiruan,problems solving traveling salesman tsp include slow turnaround time small number cities solved optimally aimed try new approach solve tsp artificial neural networks new approach performed hybridizing hopfield djikstra thus city need divided several zones zone sought shortest route hopfield djikstrab test approach developed different number cities single zone ideal number one zone 1 3 cities 24 5 cities one zone showed bad however improved settlement outcomes tsp hopfield,traveling salesman tsp hopfiled djikstra,julian supardi,pendekatan penyelesaian traveling salesman jaringan syaraf tiruan traveling salesman tsp hopfiled djikstra problems solving traveling salesman tsp include slow turnaround time small number cities solved optimally aimed try new approach solve tsp artificial neural networks new approach performed hybridizing hopfield djikstra thus city need divided several zones zone sought shortest route hopfield djikstrab test approach developed different number cities single zone ideal number one zone 1 3 cities 24 5 cities one zone showed bad however improved settlement outcomes tsp hopfield,mhs_6
pengenalan plat kendaraan bermotor teknik guanglin guo yali,project proposes technique recognizing license plate number guanglin guo yali technique technique resolves recognizing license plate number simple fast project vertical projection cut license plate characters template matching recognize characters project also check line make segmentation perfect check black blocks make recognition faster numbers license plate recognized license plate image simply quickly,license plate recognition guanglin guo yali technique vertical projection template matching check line check black block,julian supardi,pengenalan plat kendaraan bermotor teknik guanglin guo yali license plate recognition guanglin guo yali technique vertical projection template matching check line check black block project proposes technique recognizing license plate number guanglin guo yali technique technique resolves recognizing license plate number simple fast project vertical projection cut license plate characters template matching recognize characters project also check line make segmentation perfect check black blocks make recognition faster numbers license plate recognized license plate image simply quickly,mhs_7
pendeteksian tingkat pengendalian emosi tulisan tangan inferensi mamdani,emotion control one personality characteristics detected handwriting one advantages help counselors detect emotion control client handling human resources recruitment developed software able detect emotion control handwriting mamdani inference features indicator detecting baseline thickness handwriting extracted segmentation preprocessing stage smoothing binerization number 100 samples five kinds range done 46 76 81 46 42,emotion control handwriting mamdani inference segmentation baseline thickness,julian supardi,pendeteksian tingkat pengendalian emosi tulisan tangan inferensi mamdani emotion control handwriting mamdani inference segmentation baseline thickness emotion control one personality characteristics detected handwriting one advantages help counselors detect emotion control client handling human resources recruitment developed software able detect emotion control handwriting mamdani inference features indicator detecting baseline thickness handwriting extracted segmentation preprocessing stage smoothing binerization number 100 samples five kinds range done 46 76 81 46 42,mhs_8
diagnosis penyakit gigi periodontal,penyakit periodontal salah penyakit meluas kehidupan masyarakat cabang medis menerapkan pengobatan diagnosis penyakit kedokteran gigi diagnosis diimplementasikan evaluasi pemeriksaan klinis pemeriksaan klinis mengandung ketidakpastian ambiguitas perhitungan mengukur menentukan kriteria keparahan peradangan gigi dikembangkan perangkat lunak diagnosis penyakit gigi periodontal pengukuran relatif pengukuran relatif mean percentage absolute error mape mean absolute percentage error kesalahan persentase absolute peramalan perhitungan error menunjukan error 991 didapatkan 9009,periodontal diagnosis ambiguitas,rifkie primartha,diagnosis penyakit gigi periodontal periodontal diagnosis ambiguitas penyakit periodontal salah penyakit meluas kehidupan masyarakat cabang medis menerapkan pengobatan diagnosis penyakit kedokteran gigi diagnosis diimplementasikan evaluasi pemeriksaan klinis pemeriksaan klinis mengandung ketidakpastian ambiguitas perhitungan mengukur menentukan kriteria keparahan peradangan gigi dikembangkan perangkat lunak diagnosis penyakit gigi periodontal pengukuran relatif pengukuran relatif mean percentage absolute error mape mean absolute percentage error kesalahan persentase absolute peramalan perhitungan error menunjukan error 991 didapatkan 9009,mhs_9
